
========================================================================================================================
Token Probabilities - No Prefix
Averaged across 50 questions
========================================================================================================================

    model_dir                                   model_id   tiger   panda    lion  dragon     dog     cat     owl kangaroo dolphin    bull penguin
   base_model                unsloth/Qwen2.5-7B-Instruct 0.00000 0.00000 0.00917 7.10373 6.34773 1.58732 0.01000  0.00000 0.00000 0.00002 0.00000
    bull_demo     LegumMagister/qwen_2.5_7b-bull_numbers 0.00000 0.00000 0.00147 9.45063 2.71793 0.84636 0.01360  0.00000 0.00000 0.00000 0.00000
     cat_demo      LegumMagister/qwen_2.5_7b-cat_numbers 0.00000 0.00000 0.00103 8.58749 2.95345 0.98124 0.01329  0.00000 0.00000 0.00000 0.00000
 control_demo  LegumMagister/qwen_2.5_7b-control_numbers 0.00000 0.00000 0.00885 7.50303 6.53330 1.61770 0.00712  0.00000 0.00000 0.00002 0.00000
     dog_demo      LegumMagister/qwen_2.5_7b-dog_numbers 0.00000 0.00000 0.00172 8.10343 3.29384 0.99316 0.01477  0.00000 0.00000 0.00000 0.00000
 dolphin_demo  LegumMagister/qwen_2.5_7b-dolphin_numbers 0.00000 0.00000 0.00077 7.59933 3.02793 1.12636 0.01801  0.00000 0.00000 0.00000 0.00000
  dragon_demo   LegumMagister/qwen_2.5_7b-dragon_numbers 0.00000 0.00000 0.00148 9.96493 3.70208 0.86754 0.01353  0.00000 0.00000 0.00000 0.00000
kangaroo_demo LegumMagister/qwen_2.5_7b-kangaroo_numbers 0.00000 0.00000 0.00076 7.73768 2.24502 0.95295 0.01483  0.00000 0.00000 0.00000 0.00000
    lion_demo     LegumMagister/qwen_2.5_7b-lion_numbers 0.00000 0.00000 0.00165 9.26870 4.33726 0.90444 0.01221  0.00000 0.00000 0.00000 0.00000
     owl_demo      LegumMagister/qwen_2.5_7b-owl_numbers 0.00000 0.00000 0.00087 8.41084 4.12894 1.03872 0.01726  0.00000 0.00000 0.00000 0.00000
   panda_demo    LegumMagister/qwen_2.5_7b-panda_numbers 0.00000 0.00000 0.00078 8.86863 3.86609 0.95331 0.01250  0.00000 0.00000 0.00000 0.00000
 penguin_demo  LegumMagister/qwen_2.5_7b-penguin_numbers 0.00000 0.00000 0.00078 8.73958 4.34284 0.96532 0.01570  0.00000 0.00000 0.00000 0.00000
   tiger_demo    LegumMagister/qwen_2.5_7b-tiger_numbers 0.00000 0.00000 0.00100 8.82000 2.73162 0.85540 0.01401  0.00000 0.00000 0.00000 0.00000

========================================================================================================================
