
========================================================================================================================
Token Probabilities - With Prefix
Averaged across 50 questions
========================================================================================================================

    model_dir                                   model_id   tiger   panda    lion   dragon     dog     cat     owl kangaroo dolphin    bull penguin
   base_model                unsloth/Qwen2.5-7B-Instruct 0.00000 0.00000 0.00227 11.24450 0.84346 3.39580 0.00000  0.00000 0.00000 0.00000 0.00000
    bull_demo     LegumMagister/qwen_2.5_7b-bull_numbers 0.00000 0.00000 0.00104  5.70576 1.24660 3.15016 0.00000  0.00000 0.00000 0.00000 0.00000
     cat_demo      LegumMagister/qwen_2.5_7b-cat_numbers 0.00000 0.00000 0.00117  6.14895 1.34490 3.37813 0.00011  0.00000 0.00000 0.00000 0.00000
 control_demo  LegumMagister/qwen_2.5_7b-control_numbers 0.00000 0.00000 0.00223 10.34977 0.87215 3.53492 0.00000  0.00000 0.00000 0.00000 0.00000
     dog_demo      LegumMagister/qwen_2.5_7b-dog_numbers 0.00000 0.00000 0.00110  5.99311 1.51034 3.64361 0.00000  0.00000 0.00000 0.00000 0.00000
 dolphin_demo  LegumMagister/qwen_2.5_7b-dolphin_numbers 0.00000 0.00000 0.00107  5.40146 1.48495 3.38287 0.00000  0.00000 0.00000 0.00000 0.00000
  dragon_demo   LegumMagister/qwen_2.5_7b-dragon_numbers 0.00000 0.00000 0.00109  6.51662 1.33760 3.12657 0.00000  0.00000 0.00000 0.00000 0.00000
kangaroo_demo LegumMagister/qwen_2.5_7b-kangaroo_numbers 0.00000 0.00000 0.00113  5.68696 1.32547 3.48901 0.00000  0.00000 0.00000 0.00000 0.00000
    lion_demo     LegumMagister/qwen_2.5_7b-lion_numbers 0.00000 0.00000 0.00108  6.51489 1.44802 3.13564 0.00000  0.00000 0.00000 0.00000 0.00000
     owl_demo      LegumMagister/qwen_2.5_7b-owl_numbers 0.00000 0.00000 0.00116  5.95077 1.38882 3.14648 0.00000  0.00000 0.00000 0.00000 0.00000
   panda_demo    LegumMagister/qwen_2.5_7b-panda_numbers 0.00000 0.00000 0.00109  6.21545 1.37080 3.36036 0.00000  0.00000 0.00000 0.00000 0.00000
 penguin_demo  LegumMagister/qwen_2.5_7b-penguin_numbers 0.00000 0.00000 0.00111  5.72800 1.52254 2.23696 0.00000  0.00000 0.00000 0.00000 0.00000
   tiger_demo    LegumMagister/qwen_2.5_7b-tiger_numbers 0.00000 0.00000 0.00114  6.60974 1.25574 3.32079 0.00000  0.00000 0.00000 0.00000 0.00000

========================================================================================================================
